COCD|Name             |  GLON|   GLAT|Dist|E(B-V)|logt|  r1|  r2|Sol|Sam| N2|  rc|e_rc|  rt|e_rt|   k| e_k| logM|e_logM
 350|Lynga 2          |313.84|  -0.44|1000|0.20  |8.42|0.08|0.22|3  |2  | 12| 1.1|0.6 | 4.4| 1.5| 4.8| 2.2|1.559|0.456
 355|NGC 5662         |316.93|   3.40| 678|0.31  |7.64|0.10|0.32|4  |2  | 37| 1.4|0.6 | 6.2| 2.3| 7.2| 1.9|1.997|0.480
 356|Alessi 6         |313.64|  -5.53| 437|0.19  |8.30|0.16|0.42|3  |4  | 36| 0.7|0.2 | 3.6| 0.3|22.7| 5.4|1.274|0.111
 357|vdBergh-Hagen 164|314.28|  -6.07| 550|0.13  |7.14|0.14|0.40|1  |1  | 11| 4.2|1.9 | 6.4| 0.8| 2.3| 1.0|2.020|0.166
 360|NGC 5822         |321.57|   3.59| 917|0.15  |8.83|0.18|0.53|4  |1  | 73| 2.3|0.4 |14.0| 1.7| 3.4| 0.5|3.078|0.160
 362|Alessi 8         |326.49|   4.27| 575|0.09  |7.92|0.08|0.31|4  |2  | 20| 1.2|0.6 | 5.1| 2.2| 5.7| 2.0|1.751|0.551
 366|NGC 6025         |324.55|  -5.88| 769|0.16  |7.96|0.10|0.38|4  |2  | 38| 1.2|0.3 | 6.9| 0.8| 7.1| 1.6|2.151|0.153
 367|Nor OB5          |332.98|   1.86|1800|0.86  |7.11|0.30|1.00|2  |1  | 24|22.6|5.7 |57.1| 8.4| 0.0| 0.0|4.989|0.197
 369|NGC 6067         |329.74|  -2.20|1417|0.40  |8.01|0.09|0.25|4  |3  | 57| 1.1|0.3 | 7.0| 0.8|11.3| 3.3|2.217|0.149
 370|Harvard 10       |329.83|  -3.27|1312|0.25  |7.87|0.18|0.55|2  |1  | 26| 3.9|1.0 |15.9| 1.7| 0.7| 0.1|3.279|0.148
 371|NGC 6087         |327.72|  -5.42| 901|0.18  |7.93|0.14|0.48|4  |2  | 51| 2.8|0.5 | 8.3| 0.6| 4.5| 0.5|2.408|0.106
 373|NGC 6124         |340.74|   6.03| 470|0.68  |8.34|0.17|0.55|4  |4  | 87| 0.6|0.1 | 6.0| 1.3|39.7| 7.6|1.941|0.295
