# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|Alessi 6         |14 40 32|-66 07.2|      0.020|         0.235|         0.390|    9.17|         1.16|     613|  8.320|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 131     |17 49 12|-29 14.1|      0.020|         0.092|         0.165|        |             |     614|  9.170|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 64      |08 37 05|-40 11.1|      0.040|         0.260|         0.450|   26.90|         5.90|     619|  8.450|             |            |                                  OPEN STAR CLUSTER|
|Loden 143        |10 28 53|-58 48.3|      0.040|         0.170|         0.300|   -0.40|         9.79|     619|  8.450|             |            |                                  OPEN STAR CLUSTER|
|ASCC 83          |15 50 04|-52 47.4|      0.020|         0.100|         0.170|        |             |     619|  8.100|             |            |                                  OPEN STAR CLUSTER|
|NGC 2184         |06 11 19|-03 25.2|      0.020|         0.110|         0.180|        |             |     621|  8.600|             |            |                                  OPEN STAR CLUSTER|
|NGC 5662         |14 35 35|-56 36.9|      0.025|         0.135|         0.245|  -23.20|         1.00|     625|  8.275|        0.090|            |                          OB ASSOCIATION/HII REGION|
|Loden 89         |10 29 19|-56 46.8|      0.020|         0.108|         0.185|        |             |     626|  8.300|             |            |                                  OPEN STAR CLUSTER|
|ASCC 49          |08 47 51|-38 00.0|      0.030|         0.160|         0.270|        |             |     629|  7.895|             |            |                                  OPEN STAR CLUSTER|
|Collinder 95     |06 31 05|+09 54.6|      0.020|         0.090|         0.170|  -11.00|         7.40|     635|  7.300|             |            |                                             NEBULA|
|KMS 35           |05 37 54|-06 57.4|      0.018|         0.060|         0.095|        |             |     636|  6.600|             |irc         |                                             NEBULA|
|Collinder 359    |18 00 29|+02 52.5|      0.040|         0.440|         0.800|   -4.57|         0.19|     640|  7.450|             |            |                                  OPEN STAR CLUSTER|
|NGC 2527         |08 05 06|-28 10.2|      0.025|         0.155|         0.340|   39.60|         0.10|     642|  8.910|        0.031|            |                                  OPEN STAR CLUSTER|
|ASCC 92          |17 51 07|-11 52.8|      0.025|         0.110|         0.230|        |             |     644|  9.080|             |            |                                  OPEN STAR CLUSTER|
|NGC 6494         |17 56 55|-19 00.0|      0.035|         0.280|         0.550|   -8.60|         0.40|     648|  8.515|        0.027|            |                                  OPEN STAR CLUSTER|
|NGC 2264         |06 40 59|+09 52.8|      0.045|         0.190|         0.390|   20.69|         1.53|     650|  6.750|             |            |                                             NEBULA|
|ASCC 73          |12 36 22|-67 15.0|      0.022|         0.140|         0.245|  -15.80|         2.00|     650|  8.190|             |            |                                  OPEN STAR CLUSTER|
|NGC 5460         |14 07 34|-48 19.8|      0.040|         0.220|         0.380|  -12.31|         2.18|     652|  8.300|             |            |                          OB ASSOCIATION/HII REGION|
|ESO 165-09       |09 05 24|-55 56.3|      0.020|         0.110|         0.160|        |             |     656|  8.915|             |            |                                  OPEN STAR CLUSTER|
|Collinder 394    |18 52 19|-20 12.0|      0.040|         0.165|         0.300|   -1.85|         6.45|     668|  7.860|             |            |                                  OPEN STAR CLUSTER|
|NGC 6716         |18 54 34|-19 53.1|      0.020|         0.120|         0.180|    6.00|         7.40|     669|  7.385|             |            |                                  OPEN STAR CLUSTER|
|ASCC 107         |19 48 25|+21 57.5|      0.018|         0.080|         0.170|   -7.00|         3.70|     672|  8.045|        0.116|            |                                  OPEN STAR CLUSTER|
|Loden 1194       |14 05 49|-59 44.7|      0.020|         0.110|         0.180|    2.00|         3.70|     673|  8.705|             |            |                                  OPEN STAR CLUSTER|
|ASCC 99          |18 49 07|-18 44.4|      0.020|         0.125|         0.230|  -31.30|         0.40|     679|  8.750|             |            |                                  OPEN STAR CLUSTER|
|NGC 6738         |19 01 21|+11 36.0|      0.015|         0.090|         0.140|  -34.90|         0.90|     686|  9.515|        0.119|            |                                  OPEN STAR CLUSTER|
|NGC 6469         |17 53 13|-22 18.9|      0.020|         0.150|         0.235|        |             |     690|  8.875|             |            |                                  OPEN STAR CLUSTER|
|Collinder 338    |17 38 12|-37 42.0|      0.025|         0.160|         0.275|        |             |     698|  8.050|             |            |                                  OPEN STAR CLUSTER|
|IC 2395          |08 42 36|-48 08.0|      0.010|         0.100|         0.230|   13.25|         9.76|     701|  7.270|        0.048|            |                                  OPEN STAR CLUSTER|
|Pismis 5         |08 37 40|-39 34.8|      0.016|         0.060|         0.135|        |             |     702|  7.300|             |            |                                  OPEN STAR CLUSTER|
|Loden 565        |12 07 57|-60 41.4|      0.020|         0.125|         0.185|   10.10|         0.20|     703|  8.375|             |            |                                  OPEN STAR CLUSTER|
|Loden 807        |13 24 38|-62 29.7|      0.020|         0.115|         0.180|   -0.10|         0.10|     703|  8.300|             |            |                                  OPEN STAR CLUSTER|
|ASCC 33          |07 03 45|-25 03.3|      0.050|         0.235|         0.520|   15.00|         9.00|     704|  7.700|             |            |                                             NEBULA|
|NGC 2430         |07 39 40|-16 22.8|      0.010|         0.070|         0.150|    2.76|         2.23|     707|  7.700|             |            |                                  OPEN STAR CLUSTER|
