# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|NGC 2925         |09 33 09|-53 22.3|      0.030|         0.125|         0.270|   16.00|         7.40|     774|  7.805|             |            |                                  OPEN STAR CLUSTER|
|ASCC 69          |12 06 18|-69 46.8|      0.025|         0.140|         0.275|    2.00|        11.00|     774|  7.910|             |            |                                  OPEN STAR CLUSTER|
|ASCC 104         |19 38 58|+18 39.9|      0.020|         0.170|         0.400|   -5.65|         1.65|     774|  7.710|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4668        |22 56 56|-77 10.2|      0.030|         0.125|         0.180|        |             |     775|  9.100|             |            |                                  OPEN STAR CLUSTER|
|ASCC 47          |08 31 47|-39 03.3|      0.020|         0.155|         0.280|   11.00|         7.40|     780|  7.880|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 65      |08 39 16|-44 04.2|      0.015|         0.085|         0.155|        |             |     786|  8.820|             |            |                                  OPEN STAR CLUSTER|
|Loden 1          |10 05 14|-55 48.3|      0.012|         0.067|         0.093|        |             |     786|  8.300|             |            |                                  OPEN STAR CLUSTER|
|ASCC 35          |07 12 41|+02 06.3|      0.010|         0.100|         0.235|        |             |     787|  8.480|             |            |                                  OPEN STAR CLUSTER|
|Roslund 1        |19 45 07|+17 30.6|      0.010|         0.070|         0.135|        |             |     788|  8.765|        0.019|            |                                  OPEN STAR CLUSTER|
|NGC 2548         |08 13 44|-05 46.2|      0.050|         0.470|         0.720|   41.50|         0.30|     789|  8.720|        0.017|            |                                  OPEN STAR CLUSTER|
|Loden 1171       |13 59 22|-58 23.0|      0.018|         0.085|         0.145|        |             |     789|  8.590|             |            |                                  OPEN STAR CLUSTER|
|ASCC 42          |07 52 34|-52 59.7|      0.025|         0.125|         0.210|        |             |     792|  8.150|             |            |                                  OPEN STAR CLUSTER|
|NGC 5822         |15 04 28|-54 23.4|      0.030|         0.300|         0.550|  -21.17|         4.56|     794|  8.840|        0.013|            |                                  OPEN STAR CLUSTER|
|Dolidze 20       |05 27 45|+33 47.1|      0.013|         0.070|         0.125|        |             |     797|  7.400|             |dub         |                                  OPEN STAR CLUSTER|
|ASCC 56          |10 08 19|-64 22.8|      0.040|         0.235|         0.320|        |             |     797|  8.635|        0.050|            |                                  OPEN STAR CLUSTER|
|IRAS 06046-0603  |06 07 11|-06 03.9|      0.015|         0.085|         0.155|        |             |     799|  8.530|             |irc         |                                  OPEN STAR CLUSTER|
|MWSC 5154        |12 24 58|+04 02.7|      0.030|         0.160|         0.260|        |             |     799|  9.500|             |            |                                  OPEN STAR CLUSTER|
|NGC 1746         |05 04 34|+23 49.8|      0.050|         0.300|         0.600|    2.00|         3.70|     800|  8.640|        0.025|            |                                  OPEN STAR CLUSTER|
|ESO 130-08       |12 10 19|-59 31.2|      0.030|         0.100|         0.200|  -38.74|         7.92|     800|  9.010|        0.032|            |                                  OPEN STAR CLUSTER|
|ASCC 82          |15 47 02|-64 24.7|      0.020|         0.110|         0.210|        |             |     800|  8.600|             |            |                                  OPEN STAR CLUSTER|
|ASCC 98          |18 42 40|-33 39.0|      0.040|         0.240|         0.470|  -54.00|         7.40|     800|  8.045|             |            |                                  OPEN STAR CLUSTER|
|NGC 2301         |06 51 47|+00 27.9|      0.035|         0.170|         0.260|   39.65|        12.35|     805|  8.350|             |            |                                  OPEN STAR CLUSTER|
|ASCC 85          |16 47 49|-45 29.4|      0.022|         0.125|         0.235|    7.09|             |     806|  7.500|             |            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 221|17 18 40|-32 19.8|      0.020|         0.095|         0.200|    6.33|         3.84|     807|  7.800|             |            |                                  OPEN STAR CLUSTER|
|NGC 5593         |14 25 37|-54 48.0|      0.025|         0.075|         0.135|        |             |     808|  8.770|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 113     |15 57 32|-59 29.7|      0.030|         0.265|         0.450|        |             |     810|  8.345|        0.215|            |                                  OPEN STAR CLUSTER|
|ASCC 36          |07 14 30|-21 07.4|      0.035|         0.133|         0.250|        |             |     813|  8.330|             |            |                                  OPEN STAR CLUSTER|
|DBSB 104         |17 03 59|-51 05.4|      0.013|         0.060|         0.110|        |             |     813|  8.370|             |irc         |                                             NEBULA|
|ASCC 30          |06 57 02|-06 12.9|      0.015|         0.095|         0.150|        |             |     814|  8.245|             |            |                                  OPEN STAR CLUSTER|
|ESO 123-26       |07 52 12|-60 20.4|      0.020|         0.110|         0.200|        |             |     816|  8.530|             |            |                                  OPEN STAR CLUSTER|
|ESO 392-13       |17 26 52|-34 41.0|      0.010|         0.085|         0.125|        |             |     816|  7.950|             |non         |                                  OPEN STAR CLUSTER|
|BDSB 10          |18 46 20|-03 47.7|      0.015|         0.050|         0.080|        |             |     818|  7.600|             |irc         |                                  OPEN STAR CLUSTER|
|Loden 189        |10 50 28|-56 25.2|      0.030|         0.155|         0.265|   12.04|         6.15|     819|  7.990|             |            |                                  OPEN STAR CLUSTER|
|Collinder 236    |10 57 22|-61 07.2|      0.020|         0.125|         0.200|   12.76|         9.67|     823|  8.450|             |            |                                  OPEN STAR CLUSTER|
|NGC 2423         |07 37 07|-13 51.0|      0.040|         0.195|         0.450|   21.67|         2.54|     824|  9.025|        0.014|            |                                  OPEN STAR CLUSTER|
|ASCC 29          |06 54 20|-01 41.4|      0.020|         0.105|         0.210|   13.50|        10.00|     826|  8.060|             |            |                                  OPEN STAR CLUSTER|
|Loden 615        |12 20 41|-64 46.5|      0.020|         0.135|         0.245|        |             |     826|  8.630|             |            |                                  OPEN STAR CLUSTER|
|NGC 2168         |06 09 13|+24 21.6|      0.040|         0.400|         0.980|  -10.75|         1.73|     830|  8.255|        0.015|            |                                  OPEN STAR CLUSTER|
|FSR 1120         |06 14 02|-09 22.5|      0.020|         0.075|         0.140|        |             |     830|  7.300|             |            |                                  OPEN STAR CLUSTER|
|Trumpler 31      |17 59 44|-28 12.4|      0.018|         0.090|         0.165|        |             |     830|  8.635|             |            |                                  OPEN STAR CLUSTER|
|FSR 0174         |20 11 59|+28 18.6|      0.018|         0.060|         0.115|        |             |     831|  7.500|             |            |                                  OPEN STAR CLUSTER|
|FSR 0014         |16 55 44|-15 59.7|      0.020|         0.100|         0.140|        |             |     834|  9.100|             |            |                                  OPEN STAR CLUSTER|
|ASCC 87          |17 03 00|-28 27.0|      0.025|         0.175|         0.300|        |             |     838|  8.550|        0.085|            |                                  OPEN STAR CLUSTER|
|NGC 6940         |20 34 26|+28 16.8|      0.025|         0.180|         0.400|    4.66|         2.32|     844|  8.980|        0.024|            |                                  OPEN STAR CLUSTER|
|ASCC 50          |08 50 22|-41 43.2|      0.035|         0.130|         0.250|   17.13|         8.67|     846|  7.800|             |            |                                  OPEN STAR CLUSTER|
|ASCC 81          |15 46 46|-50 59.7|      0.025|         0.100|         0.160|        |             |     850|  8.750|             |            |                                  OPEN STAR CLUSTER|
|Turner 9         |19 44 49|+29 15.6|      0.070|         0.435|         0.555|  -18.52|         6.20|     852|  8.030|             |            |                                  OPEN STAR CLUSTER|
|ASCC 110         |20 02 56|+33 34.2|      0.020|         0.140|         0.230|  -20.50|        10.91|     852|  8.550|             |            |                                  OPEN STAR CLUSTER|
|ASCC 91          |17 48 50|-37 22.2|      0.010|         0.130|         0.220|        |             |     858|  8.650|             |            |                                  OPEN STAR CLUSTER|
|NGC 5043         |13 16 05|-60 03.9|      0.020|         0.092|         0.170|        |             |     860|  8.600|             |            |                                  OPEN STAR CLUSTER|
|NGC 6568         |18 12 43|-21 36.0|      0.020|         0.130|         0.266|        |             |     861|  8.800|        0.025|            |                                  OPEN STAR CLUSTER|
|Dolidze 16       |05 14 36|+32 39.6|      0.020|         0.090|         0.150|        |             |     868|  7.600|             |            |                                  OPEN STAR CLUSTER|
|Johansson 1      |15 46 15|-52 22.7|      0.020|         0.195|         0.300|  -13.00|         7.40|     869|  8.725|             |            |                                  OPEN STAR CLUSTER|
|Bochum 4         |07 31 37|-17 11.4|      0.030|         0.105|         0.190|   16.00|         3.70|     870|  8.410|        0.008|            |                                  OPEN STAR CLUSTER|
|ESO 430-18       |08 07 03|-30 50.1|      0.020|         0.125|         0.290|        |             |     871|  8.875|        0.036|            |                                  OPEN STAR CLUSTER|
|ASCC 79          |15 18 40|-60 37.8|      0.050|         0.280|         0.510|    4.53|         2.65|     871|  6.950|             |            |                                  OPEN STAR CLUSTER|
|Collinder 197    |08 44 51|-41 14.0|      0.020|         0.110|         0.220|   33.10|         3.20|     881|  7.200|             |            |                                             NEBULA|
|ASCC 84          |15 54 56|-60 44.7|      0.035|         0.115|         0.200|   -5.00|         0.01|     884|  7.850|             |            |                                  OPEN STAR CLUSTER|
|IC 4651          |17 24 54|-49 56.1|      0.020|         0.160|         0.240|  -31.00|         0.20|     888|  9.250|             |            |                                  OPEN STAR CLUSTER|
