|              Name | RAh | RAm |  RAs | DE- | DEd | DEm | DEs | TT |  SFRa |  KLum |    DM |   Dist |  n_clust |                                  reference |  
|        ESO059-001 |   7 |  31 | 19.3 |   - |  68 |  11 |  10 |  9 | -2.17 |  8.15 |  28.3 |  4.571 |          |                                            |
|            DDO044 |   7 |  34 | 11.3 |   + |  66 |  53 |  10 | -3 | -5.19 |  7.78 | 27.52 |  3.192 |          |                                            |
|           NGC2403 |   7 |  36 | 51.4 |   + |  65 |  35 |  58 |  6 | -0.16 |  9.86 | 27.51 |  3.177 |          |                                            |
|     LV J0737+4724 |   7 |  37 | 28.5 |   + |  47 |  24 |  33 | 10 |   0.0 |  7.61 | 30.98 | 15.704 |          |                                            |
|            DDO046 |   7 |  41 | 25.8 |   + |  40 |   6 |  45 | 10 | -2.36 |  8.11 | 29.18 |  6.855 |          |                                            |
|            DDO047 |   7 |  41 | 55.0 |   + |  16 |  48 |   2 |  8 | -1.75 |  8.73 | 29.53 |  8.054 |          |                                            |
|              KK65 |   7 |  42 | 31.2 |   + |  16 |  33 |  40 | 10 | -1.87 |  8.11 | 29.52 |  8.017 |          |                                            |
|         AGC174605 |   7 |  50 | 21.7 |   + |   7 |  47 |  40 | 10 |   0.0 |  6.65 | 28.89 |  5.998 |          |                                            |
|          UGC04115 |   7 |  57 |  1.8 |   + |  14 |  23 |  27 | 10 | -1.83 |  8.24 | 29.44 |  7.727 |          |                                            |
|           NGC2500 |   8 |   1 | 53.2 |   + |  50 |  44 |  14 |  7 | -0.38 |   9.8 | 30.47 | 12.417 |          |                                            |
|     LV J0812+4836 |   8 |  12 | 39.5 |   + |  48 |  36 |  45 |  9 |   0.0 |  7.69 | 30.47 | 12.417 |          |                                            |
|           NGC2537 |   8 |  13 | 14.7 |   + |  45 |  59 |  26 |  8 | -0.41 |  9.84 | 30.43 |  12.19 |          |                                            |
|            IC2233 |   8 |  13 | 58.9 |   + |  45 |  44 |  32 |  7 | -0.71 |  9.22 | 30.43 |  12.19 |          |                                            |
|           NGC2541 |   8 |  14 | 40.1 |   + |  49 |   3 |  42 |  7 | -0.41 |  9.48 | 30.47 | 12.417 |          |                                            |
|            HolmII |   8 |  19 |  4.0 |   + |  70 |  42 |  51 |  9 | -1.17 |  9.18 | 27.65 |  3.388 |          |                                            |
|           NGC2552 |   8 |  19 | 20.5 |   + |  50 |   0 |  35 |  8 | -0.79 |  9.51 | 30.47 | 12.417 |          |                                            |
|        ESO495-008 |   8 |  21 |  0.7 |   - |  23 |  46 |  53 | 10 | -1.74 |  8.52 | 31.19 | 17.298 |          |                                            |
|            KDG052 |   8 |  23 | 56.0 |   + |  71 |   1 |  46 | 10 |  -5.2 |  6.96 | 27.75 |  3.548 |          |                                            |
