SR2132 11.200 2.760 -1.301 0.301 5.378 0.138
SR2145  0.891 0.163  0.176 0.199 5.024 0.110
SR2149  0.022 0.004 -1.602 0.122 2.543 0.063
SR2156 12.600 0.700  0.477 0.040 4.757 0.176
SR2174  1.260 0.205 -1.456 0.412 4.905 0.095
SR2176  0.028 0.011 -1.155 0.223 2.852 0.157
SR2177  0.028 0.004 -0.699 0.650 3.417 0.126
SR2181  1.000 0.163  0.301 0.199 4.967 0.105
SR2185  1.260 0.205 -1.699 0.423 4.242 0.056
SR2189  0.018 0.002  0.477 0.040 3.155 0.046
SR2193  0.056 0.042 -0.699 0.588 2.720 0.076
SR2194  1.580 0.295  0.000 0.350 5.022 0.078
SR2198  0.025 0.009 -1.000 0.238 3.104 0.020
SR2199  2.510 0.990 -2.301 0.150 4.442 0.076
SR2202  3.550 1.235 -2.301 0.150 4.168 0.174
SR2206  0.022 0.004 -0.699 0.213 3.403 0.026
SR2210  0.112 0.035 -2.301 0.150 3.078 0.051
SR2214  2.510 0.690 -2.301 0.150 4.523 0.010
SR2219  0.071 0.019 -2.301 0.150 3.224 0.089
SR2221 11.200 1.300  0.301 0.111 5.363 0.102
SR2222 10.000 3.145 -2.000 0.301 5.715 0.116
SR2231  1.780 0.210  0.301 0.238 5.473 0.073
SR2232 10.000 2.760 -0.824 0.199 5.734 0.077
SR2236  1.260 0.290 -1.000 0.427 3.821 0.051
SR2239  0.014 0.002  0.477 0.040 2.620 0.012
SR2243  0.071 0.022 -2.301 0.238 3.246 0.095
SR2245  2.820 0.990 -2.301 0.150 5.743 0.058
SR2249  0.020 0.002 -0.824 0.150 2.857 0.045
SR2250  5.620 1.980 -2.301 0.150 4.648 0.032
